mut	node	pos_rho	neg_rho	pos_test	neg_test	pval
10-12684595-G-C	365	1e-06	1e-06	FALSE	FALSE	1
10-21886814-A-G	280	1e-06	1e-06	FALSE	FALSE	0.523539539223078
10-71862670-C-A	303	1e-06	1e-06	FALSE	FALSE	1
11-13177815-G-C	380	0.00177827941003892	1e-06	FALSE	FALSE	0.998955301998187
11-38307533-A-G	363	1e-06	1e-06	FALSE	FALSE	0.752530167018604
11-79700391-A-T	380	0.00223872113856834	1e-06	FALSE	FALSE	1
13-44605003-T-C	364	1e-06	0.000398107170553497	FALSE	FALSE	0.419006032770906
14-102560055-C-T	411	0.0125892541179417	0.00281838293126445	FALSE	FALSE	0.87749905929207
14-64104669-A-T	447	1e-06	0.00199526231496888	FALSE	FALSE	0.685387604886385
15-24605367-G-C	303	0.00316227766016838	1e-06	FALSE	FALSE	1
16-88367253-G-A	280	1e-06	1e-06	FALSE	FALSE	1
17-16462684-A-C	280	0.00501187233627272	1e-06	FALSE	FALSE	1
18-22273071-C-G	463	1e-06	1e-06	FALSE	FALSE	0.503794693201863
18-69589545-T-A	279	1e-06	1e-06	FALSE	FALSE	0.959110834808967
1-161562833-G-A	362	1e-06	1e-06	FALSE	FALSE	1
1-201397158-C-T	462	1e-06	1e-06	FALSE	FALSE	1
1-202576691-C-A	280	1e-06	0.000562341325190349	FALSE	FALSE	1
1-210712381-A-C	380	1e-06	1e-06	FALSE	FALSE	1
1-39022550-C-T	279	1e-06	1e-06	FALSE	FALSE	1
1-88010272-G-A	411	1e-06	5.01187233627272e-06	FALSE	FALSE	0.0524989234919863
20-44457520-G-A	280	1e-06	1e-06	FALSE	FALSE	1
22-21104509-C-T	303	1e-06	1e-06	FALSE	FALSE	0.0407048625381223
22-32017743-G-A	349	1e-06	1e-06	FALSE	FALSE	0.261683987746758
22-37053571-G-A	317	1e-06	0.707945784384139	FALSE	TRUE	1.27704991621107e-195
2-234784868-C-T	404	1e-06	1e-06	FALSE	FALSE	1
2-242132499-G-T	463	0.0354813389233575	1e-06	FALSE	FALSE	1
2-35308447-T-G	317	1e-06	1e-06	FALSE	FALSE	1
3-193993429-C-G	447	0.000630957344480194	1e-06	FALSE	FALSE	1
3-31579726-T-A	317	1e-06	1e-06	FALSE	FALSE	1
3-34693487-G-A	361	1e-06	0.00501187233627272	FALSE	FALSE	1
3-42448970-C-T	279	1e-06	1e-06	FALSE	FALSE	1
3-94261672-C-T	403	1e-06	1e-06	FALSE	FALSE	1
4-102581380-T-G	280	0.00141253754462276	1e-06	FALSE	FALSE	0.382023772089706
4-29599112-A-T	290	1e-06	1e-06	FALSE	FALSE	1
4-60461394-G-A	462	1e-06	1e-06	FALSE	FALSE	1
4-76657772-A-G	279	0.00707945784384138	1e-06	FALSE	FALSE	1
5-13091026-A-G	316	0.000891250938133746	1e-06	FALSE	FALSE	1
5-178318491-G-A	303	1e-06	1e-06	FALSE	FALSE	1
5-6831724-G-A	279	1e-06	0.00281838293126445	FALSE	FALSE	1
5-84765076-T-C	279	0.00223872113856834	0.000354813389233576	FALSE	FALSE	0.551661240699812
6-42109895-C-T	303	1e-06	1e-06	FALSE	FALSE	0.313810019945436
6-70580079-G-A	281	1e-06	1e-06	FALSE	FALSE	0.844021378246624
6-81376464-G-A	317	0.00177827941003892	1e-06	FALSE	FALSE	0.0675769927869743
6-87589473-A-T	316	1e-06	1e-06	FALSE	FALSE	1
7-126100345-C-A	380	1e-06	1e-06	FALSE	FALSE	1
7-66343091-G-A	365	1e-06	1e-06	FALSE	FALSE	1
7-73054994-C-T	280	0.000177827941003892	1e-06	FALSE	FALSE	1
7-82275021-C-T	364	1e-06	0.000446683592150963	FALSE	FALSE	1
7-87629112-T-C	462	1e-06	1e-06	FALSE	FALSE	1
8-103196466-C-G	318	1e-06	1e-06	FALSE	FALSE	1
8-124774635-G-A	364	1e-06	0.00199526231496888	FALSE	FALSE	0.498031746206194
8-143116276-C-T	365	0.0141253754462276	1e-06	FALSE	FALSE	1
8-79901299-T-C	318	1e-06	1e-06	FALSE	FALSE	0.689781797514431
9-100725459-G-A	411	1e-06	1e-06	FALSE	FALSE	1
9-113676276-C-T	290	1e-06	1e-06	FALSE	FALSE	1
X-11317155-C-T	302	1e-06	1e-06	FALSE	FALSE	1
X-141146449-G-A	281	1e-06	1e-06	FALSE	FALSE	1
17-37671455-ACT-A	281	1e-06	1e-06	FALSE	FALSE	0.95969138181178
7-114273595-TA-T	402	1e-06	0.000354813389233576	FALSE	FALSE	0.475477136532841
15-77192734-AAA-TAC	365	1e-06	1e-06	FALSE	FALSE	0.178858887953474
